Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
Description,Where_the_player_is_a_citizen,Where_the_player_is_from,Games_Played,Minutes_Played,Fouls_that_disrupt_the_play_enough_deserving_of_a_yellow_card,When_the_player_either_recieves_two_yellow_cards_in_one_game_or_commits_a_penalty_deserving_of_a_red_card,Goals_Scored,The_pass_leading_to_a_goal,Shots,Shots_that_are_on_target_and_need_to_be_saved,When_the_attacking_player_is_behind_the_defending_player_when_the_ball_is_passed_to_the_attacking_player,Times_the_player_touched_the_ball,Passes_Completed,Elevated_passes_from_outside_the_box_into_the_front_of_the_goal,When_the_defensive_player_blocks_a_shot,When_the_defensive_player_intercepts_a_pass,When_the_defensive_player_disposseses_the_offensive_player_of_the_ball,When_the_defensive_player_gets_the_ball_out_of_their_end_of_the_field,The_amount_of_times_the_player_wins_an_aerial_battle,The_amount_of_times_the_player_loses_an_aerial_battle,The_amount_of_fouls_a_player_commits,The_number_of_times_the_goalkeeper_allows_zero_goals_in_a_game,How_many_goals_the_goalkeeper_allows,The_number_of_saves_the_goalkeeper_makes_on_shots,When_the_goalkeeper_punches_ball_away_from_the_goal_usually_on_crosses,When_the_goalkeeper_catches_a_cross,The_number_of_times_the_goalkeeper_kicks_the_ball_to_restart_play,Games_Played,Minutes_Played,Fouls_that_disrupt_the_play_enough_deserving_of_a_yellow_card,When_the_player_either_recieves_two_yellow_cards_in_one_game_or_commits_a_penalty_deserving_of_a_red_card,Goals_Scored,The_pass_leading_to_a_goal,Shots,Shots_that_are_on_target_and_need_to_be_saved,When_the_attacking_player_is_behind_the_defending_player_when_the_ball_is_passed_to_the_attacking_player,Times_the_player_touched_the_ball,Passes_Completed,Elevated_passes_from_outside_the_box_into_the_front_of_the_goal,When_the_defensive_player_blocks_a_shot,When_the_defensive_player_intercepts_a_pass,When_the_defensive_player_disposseses_the_offensive_player_of_the_ball,When_the_defensive_player_gets_the_ball_out_of_their_end_of_the_field,The_amount_of_times_the_player_wins_an_aerial_battle,The_amount_of_times_the_player_loses_an_aerial_battle,The_amount_of_fouls_a_player_commits,The_number_of_times_the_goalkeeper_allows_zero_goals_in_a_game,How_many_goals_the_goalkeeper_allows,The_number_of_saves_the_goalkeeper_makes_on_shots,When_the_goalkeeper_punches_ball_away_from_the_goal_usually_on_crosses,When_the_goalkeeper_catches_a_cross,The_number_of_times_the_goalkeeper_kicks_the_ball_to_restart_play,Games_Played,Minutes_Played,Fouls_that_disrupt_the_play_enough_deserving_of_a_yellow_card,When_the_player_either_recieves_two_yellow_cards_in_one_game_or_commits_a_penalty_deserving_of_a_red_card,Goals_Scored,The_pass_leading_to_a_goal,Shots,Shots_that_are_on_target_and_need_to_be_saved,When_the_attacking_player_is_behind_the_defending_player_when_the_ball_is_passed_to_the_attacking_player,Times_the_player_touched_the_ball,Passes_Completed,Elevated_passes_from_outside_the_box_into_the_front_of_the_goal,When_the_defensive_player_blocks_a_shot,When_the_defensive_player_intercepts_a_pass,When_the_defensive_player_disposseses_the_offensive_player_of_the_ball,When_the_defensive_player_gets_the_ball_out_of_their_end_of_the_field,The_amount_of_times_the_player_wins_an_aerial_battle,The_amount_of_times_the_player_loses_an_aerial_battle,The_amount_of_fouls_a_player_commits,The_number_of_times_the_goalkeeper_allows_zero_goals_in_a_game,How_many_goals_the_goalkeeper_allows,The_number_of_saves_the_goalkeeper_makes_on_shots,When_the_goalkeeper_punches_ball_away_from_the_goal_usually_on_crosses,When_the_goalkeeper_catches_a_cross,The_number_of_times_the_goalkeeper_kicks_the_ball_to_restart_play
Aaron Cresswell, England,D,36,3071,7,0,1,7,21,6,3,2095,1299,196,17,44,34,110,57,48,20,0,0,0,0,0,0,26,2117,2,1,0,2,11,2,4,1313,758,97,6,25,21,61,36,33,11,0,0,0,0,0,0,62,5188,9,1,1,9,32,8,7,3408,2057,293,23,69,55,171,93,81,31,0,0,0,0,0,0
Aaron Lennon, England,M,29,1916,2,0,0,2,14,5,1,797,468,38,6,19,37,16,12,19,21,0,0,0,0,0,0,11,509,0,0,0,1,5,0,0,216,134,11,1,3,13,9,0,5,1,0,0,0,0,0,0,40,2425,2,0,0,3,19,5,1,1013,602,49,7,22,50,25,12,24,22,0,0,0,0,0,0
Aaron Ramsey, Wales,M,24,1846,0,0,7,8,56,25,0,1588,1239,17,3,24,35,6,10,16,28,0,0,0,0,0,0,23,1229,3,0,1,4,42,12,2,1166,920,19,3,11,21,14,7,10,15,0,0,0,0,0,0,47,3075,3,0,8,12,98,37,2,2754,2159,36,6,35,56,20,17,26,43,0,0,0,0,0,0
Abdoulaye Doucoure, France,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1359,4,0,1,0,22,8,0,1005,833,5,4,21,17,22,14,21,12,0,0,0,0,0,0,20,1359,4,0,1,0,22,8,0,1005,833,5,4,21,17,22,14,21,12,0,0,0,0,0,0
Adam Lallana, England,M,12,235,1,0,0,0,11,0,1,283,220,8,0,1,3,1,3,4,4,0,0,0,0,0,0,31,2346,3,0,8,7,50,20,12,1867,1407,48,2,20,51,21,22,43,17,0,0,0,0,0,0,43,2581,4,0,8,7,61,20,13,2150,1627,56,2,21,54,22,25,47,21,0,0,0,0,0,0
Adam Smith, England,D,27,2069,6,0,1,3,13,3,1,1501,912,35,8,31,49,56,15,28,23,0,0,0,0,0,0,36,3099,6,0,1,5,26,6,3,2374,1452,55,13,54,85,71,31,50,45,0,0,0,0,0,0,63,5168,12,0,2,8,39,9,4,3875,2364,90,21,85,134,127,46,78,68,0,0,0,0,0,0
Ademola Lookman, England,F,7,153,0,0,0,1,3,0,0,91,45,2,0,1,1,2,1,2,5,0,0,0,0,0,0,8,290,0,0,1,0,16,6,2,169,94,1,0,2,5,3,1,4,4,0,0,0,0,0,0,15,443,0,0,1,1,19,6,2,260,139,3,0,3,6,5,2,6,9,0,0,0,0,0,0
Adrian, Spain,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1440,1,0,0,0,0,0,0,571,417,0,0,0,0,10,2,2,0,6,25,53,5,19,130,16,1440,1,0,0,0,0,0,0,571,417,0,0,0,0,10,2,2,0,6,25,53,5,19,130
Adrian Mariappa, Jamaica,D,28,2208,4,0,0,0,10,2,0,1342,961,4,16,45,45,129,90,75,32,0,0,0,0,0,0,7,561,0,0,0,0,2,0,2,365,244,1,6,15,17,52,24,14,4,0,0,0,0,0,0,35,2769,4,0,0,0,12,2,2,1707,1205,5,22,60,62,181,114,89,36,0,0,0,0,0,0
Ainsley Maitland-Niles, England,M,15,908,1,0,0,0,5,0,0,810,536,20,1,12,25,22,6,14,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,909,1,0,0,0,5,0,0,816,540,20,1,12,26,22,6,14,10,0,0,0,0,0,0
Alberto Moreno, Spain,D,16,1264,1,0,0,0,12,2,0,1138,783,51,2,12,35,39,10,17,8,0,0,0,0,0,0,12,298,1,0,0,1,3,0,0,276,182,13,0,2,6,17,2,4,2,0,0,0,0,0,0,28,1562,2,0,0,1,15,2,0,1414,965,64,2,14,41,56,12,21,10,0,0,0,0,0,0
Alex Iwobi, Nigeria,M,26,1843,1,0,3,5,45,23,1,1437,1137,20,1,7,19,8,3,14,11,0,0,0,0,0,0,26,1462,1,0,3,3,39,11,3,1143,896,18,4,8,19,4,4,10,7,0,0,0,0,0,0,52,3305,2,0,6,8,84,34,4,2580,2033,38,5,15,38,12,7,24,18,0,0,0,0,0,0
Alex Oxlade-Chamberlain, England,M,35,1726,3,0,3,7,47,17,3,1308,836,86,2,26,37,13,15,33,17,0,0,0,0,0,0,29,1562,1,0,2,7,28,8,0,1223,774,68,2,11,37,22,15,30,30,0,0,0,0,0,0,64,3288,4,0,5,14,75,25,3,2531,1610,154,4,37,74,35,30,63,47,0,0,0,0,0,0
Alexis Sanchez, Chile,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3223,6,0,24,10,129,49,27,2470,1643,66,1,24,53,4,14,51,49,0,0,0,0,0,0,38,3223,6,0,24,10,129,49,27,2470,1643,66,1,24,53,4,14,51,49,0,0,0,0,0,0
Alfie Mawson, England,D,38,3420,3,0,2,1,20,6,1,2211,1744,2,32,35,32,222,122,74,19,0,0,0,0,0,0,27,2430,1,0,4,0,22,5,0,1588,1218,1,27,30,29,169,84,52,10,0,0,0,0,0,0,65,5850,4,0,6,1,42,11,1,3799,2962,3,59,65,61,391,206,126,29,0,0,0,0,0,0
